Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Jamaica,27 ,23 , 38,31 ,26 , 42,35 ,29 , 47,46 ,38 , 63,47 ,40 , 65,49 ,41 , 67,52 ,43 , 71,57 ,48 , 77,60 ,51 , 82,67 ,56 , 90
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,10 ,9 , 11,13 ,12 , 14,18 ,16 , 20,23 ,21 , 25,28 ,25 , 30,35 ,32 , 38,42 ,38 , 46,55 ,50 , 60,65 ,60 , 72,68 ,62 , 76
Kenya,30 ,26 , 35,43 ,37 , 49,47 ,41 , 54,50 ,44 , 58,58 ,51 , 67,68 ,60 , 79,77 ,67 , 89,82 ,72 , 95,78 ,68 , 90,80 ,70 , 93
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,7 ,<1 , <1,10 ,<1 , <1,13 ,<1 , <1,21 ,<1 , <1,29 ,<1 , <1,34 ,<1 , <1,40 ,<1 , <1,46 ,<1 , <1,48 ,<1 , <1,51 ,51 , 52
Lao People's Democratic Republic,21 ,18 , 23,23 ,20 , 26,26 ,23 , 29,29 ,25 , 32,33 ,30 , 38,37 ,33 , 42,43 ,38 , 49,49 ,43 , 55,53 ,47 , 60,56 ,50 , 64
Latvia,11 ,7 , 15,13 ,8 , 17,14 ,9 , 19,16 ,10 , 22,18 ,11 , 24,19 ,12 , 25,39 ,24 , 52,47 ,29 , 63,53 ,33 , 71,61 ,37 , 81
Lebanon,23 ,14 , 34,26 ,16 , 38,27 ,17 , 38,26 ,17 , 38,28 ,18 , 40,28 ,18 , 41,34 ,21 , 49,34 ,21 , 49,37 ,23 , 54,40 ,24 , 58
Lesotho,34 ,33 , 37,41 ,39 , 44,47 ,45 , 50,54 ,51 , 57,60 ,56 , 64,63 ,59 , 67,66 ,62 , 71,68 ,63 , 72,69 ,65 , 74,71 ,66 , 75
Liberia,10 ,8 , 12,12 ,10 , 15,14 ,11 , 17,17 ,14 , 21,19 ,15 , 23,19 ,15 , 24,23 ,18 , 28,35 ,28 , 44,39 ,31 , 48,43 ,34 , 54
Libya,26 ,19 , 34,27 ,19 , 35,29 ,21 , 38,29 ,22 , 39,33 ,24 , 42,37 ,28 , 49,40 ,30 , 52,48 ,36 , 62,46 ,35 , 59,45 ,34 , 58
Lithuania,6 ,5 , 7,7 ,6 , 9,10 ,8 , 12,18 ,15 , 22,14 ,12 , 17,20 ,17 , 24,23 ,20 , 28,25 ,21 , 30,32 ,28 , 39,33 ,29 , 40
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,3 ,2 , 4,4 ,3 , 5,3 ,3 , 4,4 ,3 , 5,5 ,4 , 6,7 ,5 , 8,8 ,7 , 10,9 ,7 , 11,12 ,10 , 15,15 ,13 , 20
Malawi,32 ,28 , 35,41 ,36 , 45,51 ,45 , 55,58 ,52 , 63,65 ,57 , 70,69 ,62 , 74,76 ,69 , 82,81 ,73 , 87,86 ,78 , 92,87 ,78 , 92
Malaysia,32 ,28 , 37,34 ,30 , 39,34 ,30 , 38,38 ,34 , 43,47 ,42 , 53,49 ,44 , 55,64 ,58 , 72,69 ,62 , 77,70 ,62 , 78,71 ,63 , 79
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,22 ,18 , 26,29 ,24 , 34,27 ,23 , 33,27 ,22 , 32,29 ,23 , 34,31 ,25 , 36,32 ,26 , 38,35 ,28 , 42,38 ,31 , 46,41 ,33 , 51
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,29 ,24 , 35,27 ,23 , 33,31 ,26 , 39,37 ,30 , 46,39 ,31 , 50,43 ,33 , 56,45 ,35 , 60,56 ,43 , 76,56 ,43 , 78,61 ,46 , 87
Mauritius,4 ,3 , 4,6 ,5 , 6,8 ,7 , 9,11 ,10 , 12,15 ,13 , 16,16 ,14 , 18,18 ,16 , 21,20 ,18 , 24,21 ,19 , 25,25 ,22 , 30
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,7 ,6 , 8,13 ,11 , 14,11 ,10 , 12,16 ,14 , 18,22 ,19 , 24,29 ,26 , 33,26 ,23 , 29,29 ,26 , 32,29 ,27 , 33,29 ,26 , 33
Montenegro,31 ,12 , 59,26 ,8 , 47,29 ,10 , 53,29 ,10 , 53,37 ,12 , 66,37 ,12 , 66,38 ,12 , 67,41 ,13 , 72,45 ,15 , 79,48 ,15 , 80
Morocco,19 ,16 , 25,24 ,20 , 32,33 ,27 , 43,39 ,32 , 51,43 ,35 , 57,57 ,47 , 76,66 ,54 , 88,66 ,54 , 88,74 ,61 , >95,79 ,64 , >95
Mozambique,15 ,12 , 18,18 ,14 , 21,19 ,16 , 24,27 ,22 , 33,35 ,29 , 43,43 ,35 , 52,52 ,42 , 63,57 ,46 , 70,63 ,51 , 77,67 ,54 , 82
Myanmar,15 ,13 , 17,19 ,17 , 22,26 ,23 , 30,33 ,29 , 38,41 ,36 , 47,52 ,46 , 59,62 ,55 , 70,71 ,63 , 80,80 ,71 , 90,87 ,78 , >95
Namibia,44 ,40 , 46,52 ,49 , 56,57 ,54 , 61,61 ,57 , 65,60 ,56 , 64,66 ,62 , 71,71 ,66 , 76,79 ,74 , 85,83 ,77 , 88,89 ,83 , 95
Nepal,20 ,17 , 23,27 ,24 , 32,33 ,29 , 38,38 ,33 , 44,44 ,39 , 51,50 ,44 , 57,54 ,48 , 61,62 ,55 , 71,68 ,60 , 77,73 ,65 , 82
Netherlands,78 ,72 , 85,79 ,72 , 85,80 ,73 , 87,81 ,74 , 88,83 ,76 , 90,84 ,77 , 91,85 ,77 , 92,86 ,78 , 93,87 ,79 , 95,86 ,78 , 94
New Zealand,62 ,42 , 81,63 ,42 , 85,63 ,41 , 86,65 ,41 , 89,67 ,43 , 92,69 ,43 , >95,70 ,44 , >95,72 ,45 , >95,75 ,46 , >95,77 ,47 , >95
Nicaragua,18 ,15 , 23,23 ,18 , 28,26 ,22 , 33,29 ,24 , 36,38 ,31 , 47,40 ,32 , 49,43 ,35 , 54,46 ,37 , 58,55 ,44 , 69,58 ,46 , 72
Niger,25 ,22 , 28,32 ,28 , 36,37 ,33 , 42,44 ,39 , 50,39 ,35 , 45,45 ,40 , 51,54 ,48 , 61,63 ,56 , 72,69 ,62 , 79,72 ,64 , 83
Nigeria,31 ,23 , 42,35 ,26 , 46,48 ,36 , 64,55 ,42 , 74,60 ,45 , 80,64 ,48 , 85,70 ,53 , 93,72 ,54 , >95,73 ,55 , >95,80 ,60 , >95
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,31 ,24 , 42,38 ,30 , 51,40 ,31 , 51,46 ,36 , 58,45 ,35 , 56,48 ,37 , 58,52 ,41 , 63,56 ,43 , 67,58 ,45 , 70,62 ,48 , 76
Pakistan,2 ,2 , 2,2 ,2 , 3,3 ,3 , 3,3 ,3 , 3,3 ,3 , 4,4 ,3 , 5,5 ,4 , 5,6 ,5 , 6,7 ,6 , 8,9 ,8 , 10
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,23 ,21 , 26,29 ,26 , 33,35 ,31 , 39,42 ,38 , 47,49 ,44 , 56,54 ,49 , 61,57 ,52 , 64,61 ,55 , 67,65 ,59 , 72,67 ,61 , 75
Paraguay,16 ,12 , 23,17 ,13 , 24,21 ,16 , 30,24 ,18 , 34,28 ,21 , 39,31 ,23 , 43,36 ,27 , 50,41 ,31 , 57,43 ,33 , 61,47 ,36 , 65
Peru,42 ,37 , 48,43 ,38 , 49,53 ,47 , 60,52 ,46 , 59,57 ,51 , 65,77 ,67 , 88,71 ,61 , 81,68 ,59 , 79,72 ,62 , 84,77 ,66 , 90
Philippines,24 ,20 , 28,21 ,18 , 25,20 ,17 , 23,16 ,13 , 18,16 ,14 , 19,17 ,14 , 20,19 ,16 , 22,21 ,18 , 25,25 ,21 , 29,23 ,19 , 27
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
