Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Ethiopia,,,,,,,,,,,,,,,,1.1 ,0.7 , 1.7,1.0 ,0.7 , 1.5,7.6 ,5.3 , 11.8,10.1 ,7.0 , 15.8,13.4 ,9.3 , 20.9,11.6 ,8.1 , 18.2,6.7 ,5.0 , 9.4,26.0 ,18.1 , 40.6,29.9 ,20.6 , 47.0,17.4 ,12.0 , 27.4,43.1 ,32.7 , 59.4,50.2 ,36.9 , 72.3,54.2 ,39.9 , 77.9
Fiji,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,<0.1 ,<0.1 , Nil,,145.2 , Nil,,,,,,,,,,204.6 ,151.5 , 291.7,53.7 ,42.1 , 71.0,58.5 ,45.0 , 79.1,33.9 ,26.7 , 44.5,76.1 ,59.0 , 101.8,72.0 ,56.6 , 94.8,,,,78.1 ,54.7 , 120.6
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5 ,36.1 , 79.6,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,11.5 ,7.3 , 21.0,15.4 ,9.6 , 28.6,19.0 ,11.4 , 37.7,,,,46.3 ,35.0 , 64.3,51.5 ,40.3 , 68.2,51.4 ,35.8 , 80.0,39.7 ,28.2 , 59.9,16.5 ,12.1 , 23.9,25.7 ,17.6 , 41.1
Gambia,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,5.1 ,3.6 , 8.0,2.6 ,1.8 , 4.1,11.2 ,8.7 , 15.0,7.4 ,5.7 , 10.1,18.5 ,12.9 , 28.8,,,,28.5 ,22.2 , 38.1,22.5 ,17.2 , 30.7,31.0 ,24.6 , 40.3,31.1 ,24.1 , 41.7,33.8 ,26.3 , 45.0,34.3 ,26.6 , 45.8
Georgia,,,,,,,,,,<0.1 ,<0.1 , <0.1,5.1 ,3.6 , 8.1,8.2 ,5.7 , 12.9,6.3 ,4.3 , 9.9,15.9 ,11.0 , 25.1,13.9 ,10.6 , 19.0,15.7 ,14.2 , 17.5,25.0 ,21.3 , 29.8,37.1 ,32.0 , 43.5,36.8 ,29.9 , 46.5,52.1 ,39.9 , 71.1,60.1 ,46.9 , 79.9,61.7 ,50.4 , 77.4,72.7 ,61.2 , 87.8,110.1 ,92.3 , 133.6
Germany,,,,,,,,,,23.7 ,15.1 , 42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,5.6 ,3.2 , 12.0,<0.1 ,<0.1 , <0.1,1.9 ,1.1 , 4.0,1.5 ,0.9 , 3.2,4.1 ,2.4 , 8.7,5.3 ,3.1 , 11.1,6.4 ,3.7 , 13.5,4.3 ,2.5 , 9.0,7.5 ,4.4 , 15.7,9.7 ,5.6 , 20.5,9.6 ,5.6 , 20.5,10.6 ,6.1 , 22.5,10.1 ,5.9 , 21.5,12.1 ,7.0 , 25.6,15.4 ,9.0 , 32.6
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0 ,62.8 , 174.1,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,151.2 , Nil,87.0 ,75.1 , Nil,<0.1 ,<0.1 , Nil,,,,,,,,,,,,,87.0 ,60.9 , 134.4,,,,87.0 ,60.9 , 134.4
Guatemala,,,,,,,,,,22.0 ,17.0 , 29.6,97.8 ,75.6 , 131.5,126.5 ,97.8 , 170.2,,,,10.3 ,8.0 , 13.9,49.2 ,38.0 , 66.1,50.4 ,39.3 , 67.0,48.3 ,37.7 , 64.3,19.7 ,15.3 , 26.2,33.4 ,26.2 , 43.9,63.6 ,49.8 , 84.1,70.7 ,55.5 , 93.2,52.6 ,41.4 , 68.9,68.4 ,47.9 , 105.7,56.3 ,44.3 , 73.9
Guinea,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,,,,4.0 ,2.7 , 6.5,1.3 ,0.9 , 2.2,2.4 ,1.6 , 3.9,12.5 ,8.6 , 20.1,15.8 ,10.9 , 25.1,18.4 ,12.6 , 29.1,31.7 ,21.9 , 49.9,27.1 ,18.6 , 43.1,31.0 ,21.4 , 48.8,33.4 ,23.1 , 52.6,45.6 ,31.6 , 71.6
Guinea-Bissau,,,,,,,,,,,,,,,,1.6 ,1.1 , 2.6,2.0 ,1.4 , 3.2,1.7 ,1.2 , 2.8,,,,,,,,,,<0.1 ,<0.1 , <0.1,1.6 ,1.1 , 2.5,3.9 ,2.7 , 6.3,6.3 ,4.3 , 10.1,9.4 ,6.4 , 15.1,11.4 ,7.8 , 18.2,10.6 ,7.2 , 16.9
Guyana,,,,,,,,,,24.9 ,19.3 , 33.2,,,,,,,13.4 ,10.5 , 17.5,29.2 ,23.0 , 38.2,32.7 ,25.6 , 43.2,41.1 ,32.2 , 54.3,53.2 ,41.7 , 70.1,68.1 ,53.7 , 89.3,66.3 ,52.1 , 87.2,44.9 ,35.3 , 59.0,58.6 ,46.1 , 77.0,51.2 ,40.0 , 67.8,62.0 ,43.4 , 95.9,59.9 ,46.8 , 79.2
