Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,37 ,27 , 46,50 ,36 , 64,55 ,40 , 72,44 ,32 , 58,51 ,36 , 67,48 ,34 , 64,61 ,41 , 83,67 ,43 , 92,73 ,48 , >95,75 ,47 , >95
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,34 ,27 , 43,44 ,35 , 57,33 ,26 , 41,52 ,43 , 67,48 ,39 , 59,30 ,25 , 37,39 ,33 , 48,42 ,36 , 52,53 ,44 , 65,53 ,45 , 66
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,18 ,14 , 21,25 ,20 , 30,38 ,30 , 45,61 ,49 , 72,>95 ,80 , >95,82 ,65 , >95,78 ,62 , 94,76 ,58 , 89,56 ,43 , 67,59 ,48 , 71
Guyana,37 ,32 , 43,49 ,42 , 56,55 ,48 , 64,76 ,67 , 88,64 ,56 , 74,74 ,64 , 85,73 ,62 , 86,63 ,53 , 73,78 ,65 , 92,>95 ,>95 , >95
Haiti,37 ,29 , 46,61 ,47 , 73,80 ,60 , 95,86 ,66 , >95,74 ,59 , 89,76 ,60 , 92,72 ,57 , 86,76 ,58 , 90,84 ,66 , >95,86 ,68 , >95
Honduras,71 ,60 , 85,71 ,60 , 82,77 ,65 , 90,70 ,60 , 82,67 ,57 , 79,61 ,52 , 71,59 ,49 , 69,64 ,54 , 75,73 ,61 , 86,57 ,48 , 67
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),15 ,10 , 21,18 ,12 , 26,30 ,20 , 45,32 ,21 , 49,40 ,26 , 67,53 ,31 , 95,61 ,35 , >95,67 ,36 , >95,78 ,40 , >95,82 ,41 , >95
Ireland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,89 ,61 , >95,88 ,58 , >95,85 ,54 , >95,83 ,49 , >95,80 ,46 , >95,78 ,43 , >95,76 ,40 , >95,74 ,37 , >95,70 ,33 , >95,>95 ,46 , >95
Jamaica,53 ,42 , 76,44 ,34 , 61,44 ,36 , 62,44 ,35 , 61,62 ,50 , 86,70 ,55 , >95,69 ,57 , >95,71 ,58 , >95,71 ,57 , 95,74 ,60 , >95
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,89 ,69 , >95,>95 ,77 , >95,95 ,75 , >95,>95 ,80 , >95,>95 ,81 , >95,92 ,77 , >95,>95 ,84 , >95,>95 ,87 , >95,>95 ,84 , >95,>95 ,83 , >95
Kenya,49 ,38 , 59,68 ,52 , 82,55 ,43 , 67,57 ,44 , 69,67 ,51 , 80,85 ,66 , >95,87 ,67 , >95,80 ,61 , >95,88 ,68 , >95,94 ,73 , >95
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,69 ,<1 , <1,48 ,<1 , <1,81 ,<1 , <1,83 ,<1 , <1,86 ,<1 , <1,61 ,<1 , <1,75 ,<1 , <1,77 ,<1 , <1,82 ,<1 , <1,78 ,<1 , <1
Lao People's Democratic Republic,13 ,11 , 16,25 ,20 , 29,24 ,20 , 28,27 ,23 , 32,15 ,13 , 18,18 ,15 , 20,40 ,34 , 47,41 ,35 , 49,49 ,42 , 56,41 ,36 , 48
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lesotho,64 ,53 , 74,87 ,69 , >95,86 ,69 , >95,82 ,66 , 95,88 ,68 , >95,89 ,70 , >95,83 ,65 , 95,78 ,60 , 88,86 ,67 , >95,84 ,65 , >95
Liberia,21 ,16 , 28,32 ,23 , 41,34 ,25 , 45,27 ,20 , 36,28 ,21 , 37,53 ,39 , 70,64 ,48 , 84,74 ,55 , >95,89 ,65 , >95,90 ,65 , >95
Libya,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,48 ,38 , 60,48 ,38 , 60,66 ,53 , 81,69 ,56 , 83
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,4 ,3 , 6,23 ,17 , 29,14 ,11 , 18,10 ,8 , 12,8 ,6 , 9,6 ,5 , 8,3 ,2 , 4,10 ,8 , 12,22 ,18 , 28,24 ,20 , 32
Malawi,27 ,21 , 31,49 ,38 , 57,67 ,52 , 77,69 ,53 , 80,76 ,57 , 88,82 ,62 , 95,89 ,67 , >95,>95 ,75 , >95,>95 ,81 , >95,>95 ,77 , >95
Malaysia,79 ,66 , 92,83 ,72 , 95,81 ,71 , 93,77 ,66 , 89,83 ,73 , 94,>95 ,81 , >95,>95 ,82 , >95,>95 ,81 , >95,>95 ,84 , >95,>95 ,84 , >95
Mali,28 ,23 , 34,39 ,32 , 46,41 ,34 , 49,24 ,20 , 28,26 ,21 , 32,30 ,24 , 36,26 ,21 , 32,26 ,21 , 31,26 ,21 , 33,21 ,17 , 26
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,12 ,9 , 15,13 ,10 , 16,6 ,5 , 8,13 ,10 , 18,89 ,66 , >95,86 ,62 , >95,28 ,21 , 40,21 ,15 , 31,34 ,24 , 51,63 ,44 , >95
Mauritius,80 ,70 , 92,88 ,74 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Montenegro,,,,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Morocco,39 ,31 , 50,38 ,30 , 50,59 ,48 , 74,53 ,44 , 67,59 ,48 , 73,49 ,39 , 61,61 ,51 , 75,59 ,50 , 72,62 ,53 , 78,73 ,62 , 90
Mozambique,24 ,17 , 31,50 ,36 , 67,78 ,55 , >95,83 ,59 , >95,92 ,66 , >95,95 ,68 , >95,89 ,64 , >95,>95 ,71 , >95,>95 ,72 , >95,>95 ,74 , >95
Myanmar,35 ,30 , 43,43 ,36 , 51,50 ,42 , 59,54 ,45 , 63,64 ,55 , 74,69 ,59 , 80,77 ,67 , 88,79 ,68 , 90,85 ,73 , >95,85 ,74 , >95
Namibia,65 ,54 , 74,71 ,56 , 78,62 ,50 , 70,78 ,63 , 87,90 ,73 , >95,>95 ,80 , >95,>95 ,82 , >95,>95 ,91 , >95,>95 ,91 , >95,>95 ,94 , >95
Nepal,14 ,12 , 17,24 ,20 , 29,32 ,27 , 38,39 ,32 , 47,48 ,40 , 58,47 ,40 , 56,63 ,53 , 77,72 ,61 , 87,58 ,50 , 69,51 ,44 , 61
Netherlands,51 ,43 , 58,50 ,42 , 58,50 ,42 , 57,55 ,47 , 63,61 ,52 , 70,65 ,55 , 75,70 ,58 , 80,75 ,62 , 86,79 ,64 , 92,80 ,64 , 92
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,61 ,50 , 80,79 ,61 , >95,89 ,73 , >95,77 ,60 , >95,77 ,61 , 95,86 ,68 , >95,86 ,68 , >95,87 ,70 , >95,>95 ,78 , >95,>95 ,77 , >95
Niger,87 ,74 , >95,66 ,57 , 78,58 ,51 , 67,58 ,51 , 67,70 ,61 , 82,47 ,41 , 54,77 ,67 , 89,51 ,45 , 60,50 ,44 , 58,43 ,38 , 50
Nigeria,27 ,17 , 39,33 ,21 , 48,40 ,26 , 59,53 ,35 , 78,62 ,41 , 91,53 ,34 , 77,56 ,37 , 82,51 ,33 , 74,43 ,28 , 63,43 ,28 , 62
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Pakistan,1 ,1 , 2,3 ,3 , 4,2 ,2 , 2,5 ,4 , 6,2 ,2 , 3,7 ,6 , 9,4 ,3 , 5,6 ,5 , 7,10 ,8 , 11,12 ,10 , 13
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,5 ,4 , 7,16 ,12 , 20,25 ,18 , 31,34 ,24 , 42,42 ,30 , 51,35 ,26 , 44,41 ,29 , 50,50 ,36 , 61,64 ,47 , 78,81 ,60 , >95
Paraguay,50 ,32 , 78,67 ,45 , >95,61 ,40 , 94,58 ,39 , 90,67 ,45 , >95,57 ,37 , 88,71 ,48 , >95,71 ,47 , >95,77 ,52 , >95,94 ,64 , >95
Peru,39 ,34 , 45,59 ,52 , 68,69 ,62 , 78,71 ,62 , 81,71 ,62 , 83,66 ,57 , 76,70 ,60 , 80,71 ,62 , 82,84 ,73 , >95,82 ,70 , 95
Philippines,14 ,12 , 18,16 ,13 , 20,14 ,12 , 17,8 ,7 , 10,12 ,9 , 14,14 ,11 , 17,16 ,13 , 20,18 ,14 , 22,20 ,16 , 24,25 ,20 , 31
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,63 ,54 , 75,62 ,53 , 73,68 ,58 , 80,69 ,59 , 81,69 ,59 , 82,77 ,66 , 91,83 ,71 , >95,88 ,75 , >95,76 ,65 , 89,93 ,80 , >95
Romania,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,61 ,48 , 72,>95 ,73 , >95,84 ,66 , >95,89 ,66 , >95,95 ,75 , >95,>95 ,80 , >95,92 ,71 , >95,88 ,68 , >95,89 ,70 , >95,>95 ,79 , >95
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,23 ,20 , 27,28 ,24 , 32,34 ,30 , 39,49 ,43 , 56,44 ,38 , 51,56 ,48 , 66,59 ,51 , 70,57 ,49 , 67,67 ,58 , 79,72 ,62 , 86
Serbia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
