Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Denmark,10 ,3 , 20,8 ,2 , 16,6 ,2 , 13,6 ,2 , 14,1 ,0 , 2,4 ,1 , 8,3 ,1 , 6,3 ,1 , 6,0 ,0 , 0,0 ,0 , 0,2 ,1 , 3,2 ,1 , 4,2 ,1 , 3,2 ,1 , 4,2 ,0 , 4,2 ,0 , 3,2 ,1 , 5,2 ,0 , 4,1 ,0 , 3
Djibouti,380 ,160 , 700,420 ,180 , 760,230 ,86 , 430,250 ,98 , 470,230 ,89 , 430,240 ,93 , 450,220 ,85 , 410,120 ,82 , 170,140 ,95 , 200,130 ,84 , 180,300 ,110 , 560,270 ,110 , 520,250 ,95 , 470,210 ,79 , 400,56 ,39 , 74,41 ,28 , 57,35 ,24 , 48,27 ,18 , 36,19 ,13 , 27
Dominica,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,1 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0
Dominican Republic,380 ,140 , 740,340 ,130 , 660,190 ,64 , 390,240 ,83 , 490,230 ,77 , 460,120 ,81 , 170,210 ,71 , 430,210 ,73 , 420,200 ,68 , 410,100 ,69 , 150,200 ,70 , 410,230 ,80 , 440,240 ,180 , 320,290 ,210 , 380,280 ,200 , 360,300 ,220 , 390,280 ,200 , 360,270 ,190 , 350,260 ,190 , 340
Ecuador,140 ,32 , 320,120 ,28 , 280,71 ,16 , 170,93 ,22 , 220,88 ,20 , 200,62 ,15 , 140,64 ,15 , 150,110 ,72 , 160,95 ,61 , 140,110 ,68 , 150,100 ,65 , 150,140 ,90 , 200,150 ,97 , 220,190 ,130 , 260,180 ,130 , 240,150 ,110 , 200,190 ,130 , 250,200 ,140 , 260,210 ,150 , 280
Egypt,9 ,4 , 16,10 ,5 , 17,6 ,3 , 10,7 ,3 , 12,8 ,3 , 13,9 ,4 , 15,11 ,5 , 19,14 ,7 , 25,16 ,7 , 27,17 ,8 , 29,20 ,9 , 35,26 ,12 , 45,30 ,14 , 52,34 ,16 , 59,33 ,15 , 57,32 ,15 , 55,32 ,15 , 56,29 ,13 , 50,31 ,14 , 54
El Salvador,48 ,15 , 99,49 ,16 , 100,34 ,10 , 71,37 ,25 , 51,30 ,20 , 41,60 ,43 , 80,49 ,34 , 65,61 ,44 , 82,55 ,39 , 73,57 ,41 , 77,49 ,35 , 66,51 ,36 , 70,56 ,39 , 77,54 ,38 , 73,54 ,37 , 73,49 ,34 , 67,53 ,36 , 73,44 ,29 , 62,55 ,38 , 75
Equatorial Guinea,58 ,28 , 98,68 ,34 , 110,59 ,26 , 100,72 ,34 , 120,82 ,40 , 140,90 ,44 , 150,99 ,49 , 160,120 ,64 , 190,16 ,10 , 23,190 ,100 , 300,110 ,84 , 140,240 ,140 , 370,260 ,150 , 390,280 ,160 , 440,240 ,190 , 300,330 ,260 , 410,390 ,220 , 600,340 ,270 , 420,400 ,320 , 500
Eritrea,130 ,31 , 300,290 ,100 , 570,200 ,63 , 400,420 ,110 , 950,370 ,92 , 840,300 ,74 , 690,240 ,59 , 550,320 ,80 , 730,590 ,280 , 1000,240 ,59 , 540,240 ,59 , 540,330 ,150 , 560,340 ,160 , 580,110 ,54 , 190,83 ,39 , 140,63 ,29 , 110,75 ,35 , 130,51 ,23 , 89,47 ,21 , 83
Estonia,14 ,0 , 52,37 ,14 , 70,32 ,12 , 61,32 ,13 , 60,5 ,3 , 8,6 ,3 , 9,7 ,4 , 11,9 ,6 , 14,7 ,4 , 11,7 ,5 , 11,6 ,4 , 8,8 ,5 , 12,8 ,5 , 12,7 ,4 , 10,4 ,2 , 7,4 ,2 , 7,4 ,2 , 6,3 ,1 , 4,2 ,1 , 4
Eswatini,1100 ,630 , 1600,1100 ,680 , 1700,1300 ,770 , 1900,1500 ,890 , 2200,1500 ,950 , 2300,1700 ,1000 , 2500,1800 ,1100 , 2600,2000 ,1500 , 2700,2000 ,1500 , 2700,2300 ,1700 , 3000,2300 ,1700 , 3000,1700 ,1300 , 2300,1400 ,1000 , 1900,1300 ,930 , 1700,1100 ,770 , 1400,790 ,550 , 1100,640 ,450 , 870,610 ,430 , 810,510 ,350 , 690
