Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Philippines,23 ,19 , 27,18 ,14 , 21,26 ,21 , 31,14 ,11 , 17,13 ,10 , 15,17 ,14 , 20,15 ,12 , 18,20 ,16 , 24,21 ,17 , 25,25 ,20 , 31
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,23 ,19 , 28,28 ,23 , 35,33 ,27 , 40,41 ,34 , 51,48 ,39 , 59,51 ,42 , 63,58 ,48 , 72,62 ,51 , 76,58 ,48 , 72,62 ,51 , 76
Romania,17 ,16 , 17,22 ,20 , 22,32 ,31 , 33,49 ,46 , 50,79 ,76 , 83,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,28 ,23 , 31,29 ,24 , 33,32 ,27 , 37,35 ,29 , 40,38 ,31 , 44,42 ,34 , 48,47 ,38 , 56,48 ,38 , 56,49 ,38 , 59,50 ,39 , 62
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,1 ,1 , 1,1 ,1 , 1,1 ,1 , 1,1 ,1 , 1,13 ,11 , 15,25 ,22 , 29,27 ,24 , 31,29 ,25 , 34,34 ,30 , 40,38 ,34 , 46
Serbia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sierra Leone,4 ,3 , 5,5 ,4 , 6,4 ,3 , 5,5 ,4 , 5,5 ,4 , 5,7 ,5 , 8,8 ,6 , 9,10 ,8 , 12,12 ,9 , 15,13 ,9 , 16
