Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Lesotho,14 000 ,11 000 , 18 000,15 000 ,12 000 , 20 000,16 000 ,13 000 , 21 000,17 000 ,13 000 , 22 000,17 000 ,14 000 , 23 000,17 000 ,14 000 , 23 000,18 000 ,14 000 , 24 000,18 000 ,14 000 , 24 000,17 000 ,14 000 , 24 000,17 000 ,13 000 , 23 000
Liberia,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1200,1200 ,<1000 , 1700
Libya,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500
Lithuania,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000
Malawi,36 000 ,32 000 , 41 000,38 000 ,33 000 , 43 000,40 000 ,34 000 , 46 000,42 000 ,35 000 , 49 000,43 000 ,35 000 , 51 000,42 000 ,35 000 , 51 000,42 000 ,34 000 , 51 000,42 000 ,35 000 , 50 000,41 000 ,34 000 , 48 000,40 000 ,34 000 , 47 000
Malaysia,1400 ,1200 , 1700,1400 ,1100 , 1700,1400 ,1100 , 1600,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,1200 ,1000 , 1400,1600 ,1300 , 1900,2200 ,1800 , 2700,2300 ,1800 , 2900,2200 ,1700 , 2700
Maldives,...,,,... ,... , ...,... ,... , ...,... ,... , ...,...,,,...,,,...,,,...,,,...,,,...,,
Mali,3500 ,2700 , 4300,3600 ,2800 , 4500,3800 ,2900 , 4800,3400 ,2500 , 4200,2700 ,2000 , 3500,2300 ,1700 , 2900,2300 ,1800 , 3000,2400 ,1800 , 3100,2500 ,1900 , 3300,2700 ,2000 , 3600
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Mauritius,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Montenegro,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Morocco,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1700,<1000 ,<1000 , 1700
Mozambique,34 000 ,24 000 , 47 000,38 000 ,26 000 , 52 000,40 000 ,28 000 , 56 000,42 000 ,30 000 , 59 000,48 000 ,33 000 , 67 000,57 000 ,40 000 , 80 000,65 000 ,45 000 , 90 000,69 000 ,48 000 , 96 000,74 000 ,51 000 , 100 000,79 000 ,55 000 , 110 000
Myanmar,2900 ,2500 , 3400,3300 ,2800 , 3800,4000 ,3300 , 4800,4700 ,3800 , 5700,5100 ,4000 , 6200,5400 ,4100 , 6800,5700 ,4300 , 7600,6100 ,4400 , 8400,6500 ,4800 , 9200,6900 ,5300 , 9800
